,T0,T1,T2,u0,u1,u2,Ta0,Ta1,Ta2,y
0,0.00393961,0.001140135,0,0,0,0,0.08,0.073333333,0.066666667,-0.037012978
1,-0.003462986,0.00393961,0.001140135,0.001923881,0,0,0.086666667,0.08,0.073333333,-0.079364477
2,-0.019335881,-0.003462986,0.00393961,0.011375458,0.001923881,0,0.093333333,0.086666667,0.08,-0.03084214
3,-0.025504309,-0.019335881,-0.003462986,0.016047923,0.011375458,0.001923881,0.1,0.093333333,0.086666667,-0.066734669
4,-0.038851243,-0.025504309,-0.019335881,0.025250541,0.016047923,0.011375458,0.106666667,0.1,0.093333333,0.012946337
5,-0.036261976,-0.038851243,-0.025504309,0.025898537,0.025250541,0.016047923,0.113333333,0.106666667,0.1,-0.052955176
6,-0.046853011,-0.036261976,-0.038851243,0.034091195,0.025898537,0.025250541,0.12,0.113333333,0.106666667,-0.034139298
7,-0.05368087,-0.046853011,-0.036261976,0.040677058,0.034091195,0.025898537,0.124166667,0.12,0.113333333,0.004905544
8,-0.052699762,-0.05368087,-0.046853011,0.043087016,0.040677058,0.034091195,0.128333333,0.124166667,0.12,0.078112279
9,-0.037077306,-0.052699762,-0.05368087,0.036901681,0.043087016,0.040677058,0.1325,0.128333333,0.124166667,-0.058010661
10,-0.048679438,-0.037077306,-0.052699762,0.045729442,0.036901681,0.043087016,0.136666667,0.1325,0.128333333,-0.024845085
11,-0.053648455,-0.048679438,-0.037077306,0.051332448,0.045729442,0.036901681,0.139166667,0.136666667,0.1325,0.009330125
12,-0.05178243,-0.053648455,-0.048679438,0.053224403,0.051332448,0.045729442,0.141666667,0.139166667,0.136666667,-0.045200149
13,-0.06082246,-0.05178243,-0.053648455,0.061374556,0.053224403,0.051332448,0.144166667,0.141666667,0.139166667,0.000396832
14,-0.060743094,-0.06082246,-0.05178243,0.064707284,0.061374556,0.053224403,0.146666667,0.144166667,0.141666667,0.022528427
